2023-03-01:16:41:09,404, ACTION: RECEIVE, Logical Clock Time: [50, 0, 72], # of remaining messages: 1
2023-03-01:16:41:09,656, ACTION: RECEIVE, Logical Clock Time: [51, 0, 73], # of remaining messages: 0
2023-03-01:16:41:09,911, ACTION: RECEIVE, Logical Clock Time: [52, 0, 76], # of remaining messages: 0
2023-03-01:16:41:10,166, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [53, 0, 76]
2023-03-01:16:41:10,420, ACTION: RECEIVE, Logical Clock Time: [54, 0, 78], # of remaining messages: 0
2023-03-01:16:41:10,671, ACTION: RECEIVE, Logical Clock Time: [55, 0, 80], # of remaining messages: 0
2023-03-01:16:41:10,926, ACTION: RECEIVE, Logical Clock Time: [56, 0, 82], # of remaining messages: 0
2023-03-01:16:41:11,178, ACTION: RECEIVE, Logical Clock Time: [57, 0, 83], # of remaining messages: 0
2023-03-01:16:41:11,429, ACTION: RECEIVE, Logical Clock Time: [58, 0, 84], # of remaining messages: 0
2023-03-01:16:41:11,684, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [58, 0, 84]
2023-03-01:16:41:11,685, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [59, 0, 84]
2023-03-01:16:41:11,936, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [60, 0, 84]
2023-03-01:16:41:12,187, ACTION: RECEIVE, Logical Clock Time: [61, 0, 88], # of remaining messages: 1
2023-03-01:16:41:12,442, ACTION: RECEIVE, Logical Clock Time: [62, 0, 89], # of remaining messages: 1
2023-03-01:16:41:12,694, ACTION: RECEIVE, Logical Clock Time: [63, 0, 90], # of remaining messages: 2
2023-03-01:16:41:12,947, ACTION: RECEIVE, Logical Clock Time: [64, 0, 91], # of remaining messages: 2
2023-03-01:16:41:13,202, ACTION: RECEIVE, Logical Clock Time: [65, 0, 92], # of remaining messages: 3
2023-03-01:16:41:13,453, ACTION: RECEIVE, Logical Clock Time: [66, 0, 93], # of remaining messages: 3
2023-03-01:16:41:13,708, ACTION: RECEIVE, Logical Clock Time: [67, 0, 94], # of remaining messages: 4
2023-03-01:16:41:13,963, ACTION: RECEIVE, Logical Clock Time: [68, 0, 95], # of remaining messages: 3
2023-03-01:16:41:14,217, ACTION: RECEIVE, Logical Clock Time: [69, 0, 96], # of remaining messages: 3
2023-03-01:16:41:14,469, ACTION: RECEIVE, Logical Clock Time: [70, 0, 97], # of remaining messages: 3
2023-03-01:16:41:14,720, ACTION: RECEIVE, Logical Clock Time: [71, 0, 98], # of remaining messages: 2
2023-03-01:16:41:14,974, ACTION: RECEIVE, Logical Clock Time: [72, 0, 100], # of remaining messages: 1
2023-03-01:16:41:15,230, ACTION: RECEIVE, Logical Clock Time: [73, 0, 102], # of remaining messages: 0
2023-03-01:16:41:15,485, ACTION: RECEIVE, Logical Clock Time: [74, 0, 108], # of remaining messages: 0
2023-03-01:16:41:15,736, ACTION: RECEIVE, Logical Clock Time: [75, 0, 109], # of remaining messages: 0
2023-03-01:16:41:15,992, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [76, 0, 109]
2023-03-01:16:41:16,242, ACTION: RECEIVE, Logical Clock Time: [77, 0, 112], # of remaining messages: 0
2023-03-01:16:41:16,493, ACTION: INTERNAL, Logical Clock Time: [78, 0, 112]
2023-03-01:16:41:16,744, ACTION: RECEIVE, Logical Clock Time: [79, 0, 115], # of remaining messages: 1
2023-03-01:16:41:16,996, ACTION: RECEIVE, Logical Clock Time: [80, 0, 116], # of remaining messages: 0
2023-03-01:16:41:17,248, ACTION: INTERNAL, Logical Clock Time: [81, 0, 116]
2023-03-01:16:41:17,504, ACTION: RECEIVE, Logical Clock Time: [82, 0, 120], # of remaining messages: 0
2023-03-01:16:41:17,759, ACTION: RECEIVE, Logical Clock Time: [83, 0, 122], # of remaining messages: 0
2023-03-01:16:41:18,023, ACTION: RECEIVE, Logical Clock Time: [84, 0, 123], # of remaining messages: 0
2023-03-01:16:41:18,276, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [84, 0, 123]
2023-03-01:16:41:18,277, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [85, 0, 123]
2023-03-01:16:41:18,529, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [85, 0, 123]
2023-03-01:16:41:18,530, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [86, 0, 123]
2023-03-01:16:41:18,785, ACTION: RECEIVE, Logical Clock Time: [87, 0, 128], # of remaining messages: 0
2023-03-01:16:41:19,040, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [88, 0, 128]
2023-03-01:16:41:19,295, ACTION: RECEIVE, Logical Clock Time: [89, 0, 131], # of remaining messages: 0
2023-03-01:16:41:19,548, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [89, 0, 131]
2023-03-01:16:41:19,549, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [90, 0, 131]
2023-03-01:16:41:19,803, ACTION: RECEIVE, Logical Clock Time: [91, 0, 134], # of remaining messages: 0
2023-03-01:16:41:20,058, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [92, 0, 134]
2023-03-01:16:41:20,309, ACTION: RECEIVE, Logical Clock Time: [93, 0, 137], # of remaining messages: 0
2023-03-01:16:41:20,564, ACTION: INTERNAL, Logical Clock Time: [94, 0, 137]
2023-03-01:16:41:20,817, ACTION: RECEIVE, Logical Clock Time: [95, 0, 139], # of remaining messages: 1
2023-03-01:16:41:21,072, ACTION: RECEIVE, Logical Clock Time: [96, 0, 140], # of remaining messages: 0
