2023-03-01:16:39:18,144, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [0, 0, 1]
2023-03-01:16:39:18,478, ACTION: RECEIVE, Logical Clock Time: [0, 0, 2], # of remaining messages: 0
2023-03-01:16:39:18,815, ACTION: INTERNAL, Logical Clock Time: [0, 0, 3]
2023-03-01:16:39:19,153, ACTION: RECEIVE, Logical Clock Time: [3, 0, 4], # of remaining messages: 0
2023-03-01:16:39:19,488, ACTION: RECEIVE, Logical Clock Time: [4, 0, 5], # of remaining messages: 0
2023-03-01:16:39:19,829, ACTION: INTERNAL, Logical Clock Time: [4, 0, 6]
2023-03-01:16:39:20,167, ACTION: RECEIVE, Logical Clock Time: [7, 0, 7], # of remaining messages: 0
2023-03-01:16:39:20,507, ACTION: SEND, Recipient Machine: 1, Logical Clock Time: [7, 0, 8]
2023-03-01:16:39:20,842, ACTION: RECEIVE, Logical Clock Time: [10, 0, 9], # of remaining messages: 0
2023-03-01:16:39:21,176, ACTION: SEND, Recipient Machine: 1, Logical Clock Time: [10, 0, 9]
2023-03-01:16:39:21,177, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [10, 0, 10]
2023-03-01:16:39:21,511, ACTION: SEND, Recipient Machine: 1, Logical Clock Time: [10, 0, 10]
2023-03-01:16:39:21,511, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [10, 0, 11]
2023-03-01:16:39:21,849, ACTION: SEND, Recipient Machine: 1, Logical Clock Time: [10, 0, 12]
2023-03-01:16:39:22,187, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [10, 0, 13]
2023-03-01:16:39:22,523, ACTION: SEND, Recipient Machine: 1, Logical Clock Time: [10, 0, 13]
2023-03-01:16:39:22,523, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [10, 0, 14]
2023-03-01:16:39:22,857, ACTION: RECEIVE, Logical Clock Time: [18, 0, 15], # of remaining messages: 0
2023-03-01:16:39:23,193, ACTION: RECEIVE, Logical Clock Time: [19, 0, 16], # of remaining messages: 0
2023-03-01:16:39:23,539, ACTION: RECEIVE, Logical Clock Time: [20, 0, 17], # of remaining messages: 0
2023-03-01:16:39:23,873, ACTION: RECEIVE, Logical Clock Time: [21, 0, 18], # of remaining messages: 1
2023-03-01:16:39:24,212, ACTION: RECEIVE, Logical Clock Time: [22, 0, 19], # of remaining messages: 1
