2023-03-01:16:44:42,579, ACTION: SEND, Recipient Machine: 1, Logical Clock Time: [0, 0, 0]
2023-03-01:16:44:42,579, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [0, 0, 1]
2023-03-01:16:44:43,582, ACTION: RECEIVE, Logical Clock Time: [0, 1, 2], # of remaining messages: 2
2023-03-01:16:44:44,583, ACTION: RECEIVE, Logical Clock Time: [0, 2, 3], # of remaining messages: 2
2023-03-01:16:44:45,586, ACTION: RECEIVE, Logical Clock Time: [0, 3, 4], # of remaining messages: 4
2023-03-01:16:44:46,588, ACTION: RECEIVE, Logical Clock Time: [0, 5, 5], # of remaining messages: 5
2023-03-01:16:44:47,604, ACTION: RECEIVE, Logical Clock Time: [6, 6, 6], # of remaining messages: 6
2023-03-01:16:44:48,605, ACTION: RECEIVE, Logical Clock Time: [6, 11, 7], # of remaining messages: 6
2023-03-01:16:44:49,610, ACTION: RECEIVE, Logical Clock Time: [6, 13, 8], # of remaining messages: 6
2023-03-01:16:44:50,614, ACTION: RECEIVE, Logical Clock Time: [6, 15, 9], # of remaining messages: 6
2023-03-01:16:44:51,619, ACTION: RECEIVE, Logical Clock Time: [6, 16, 10], # of remaining messages: 8
2023-03-01:16:44:52,620, ACTION: RECEIVE, Logical Clock Time: [6, 20, 11], # of remaining messages: 8
2023-03-01:16:44:53,624, ACTION: RECEIVE, Logical Clock Time: [13, 20, 12], # of remaining messages: 10
2023-03-01:16:44:54,626, ACTION: RECEIVE, Logical Clock Time: [13, 25, 13], # of remaining messages: 11
2023-03-01:16:44:55,631, ACTION: RECEIVE, Logical Clock Time: [17, 32, 14], # of remaining messages: 12
2023-03-01:16:44:56,636, ACTION: RECEIVE, Logical Clock Time: [17, 35, 15], # of remaining messages: 12
2023-03-01:16:44:57,636, ACTION: RECEIVE, Logical Clock Time: [17, 41, 16], # of remaining messages: 12
2023-03-01:16:44:58,652, ACTION: RECEIVE, Logical Clock Time: [17, 42, 17], # of remaining messages: 12
2023-03-01:16:44:59,653, ACTION: RECEIVE, Logical Clock Time: [17, 44, 18], # of remaining messages: 14
2023-03-01:16:45:00,657, ACTION: RECEIVE, Logical Clock Time: [29, 45, 19], # of remaining messages: 15
2023-03-01:16:45:01,663, ACTION: RECEIVE, Logical Clock Time: [30, 45, 20], # of remaining messages: 15
2023-03-01:16:45:02,668, ACTION: RECEIVE, Logical Clock Time: [30, 51, 21], # of remaining messages: 17
2023-03-01:16:45:03,673, ACTION: RECEIVE, Logical Clock Time: [32, 51, 22], # of remaining messages: 18
2023-03-01:16:45:04,676, ACTION: RECEIVE, Logical Clock Time: [33, 51, 23], # of remaining messages: 20
2023-03-01:16:45:05,680, ACTION: RECEIVE, Logical Clock Time: [33, 58, 24], # of remaining messages: 21
2023-03-01:16:45:06,681, ACTION: RECEIVE, Logical Clock Time: [33, 60, 25], # of remaining messages: 21
2023-03-01:16:45:07,685, ACTION: RECEIVE, Logical Clock Time: [37, 60, 26], # of remaining messages: 20
