2023-03-01:16:43:42,298, ACTION: RECEIVE, Logical Clock Time: [56, 107, 53], # of remaining messages: 0
2023-03-01:16:43:43,299, ACTION: INTERNAL, Logical Clock Time: [57, 107, 53]
2023-03-01:16:43:44,301, ACTION: INTERNAL, Logical Clock Time: [58, 107, 53]
2023-03-01:16:43:45,303, ACTION: RECEIVE, Logical Clock Time: [59, 114, 53], # of remaining messages: 0
2023-03-01:16:43:46,306, ACTION: RECEIVE, Logical Clock Time: [60, 117, 53], # of remaining messages: 0
2023-03-01:16:43:47,307, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [61, 117, 53]
2023-03-01:16:43:48,313, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [62, 117, 53]
2023-03-01:16:43:49,326, ACTION: RECEIVE, Logical Clock Time: [63, 122, 53], # of remaining messages: 1
2023-03-01:16:43:50,332, ACTION: RECEIVE, Logical Clock Time: [64, 123, 53], # of remaining messages: 1
2023-03-01:16:43:51,337, ACTION: RECEIVE, Logical Clock Time: [65, 125, 53], # of remaining messages: 1
2023-03-01:16:43:52,340, ACTION: RECEIVE, Logical Clock Time: [66, 127, 53], # of remaining messages: 0
2023-03-01:16:43:53,344, ACTION: INTERNAL, Logical Clock Time: [67, 127, 53]
